superior_frontal_gyrus_left,superior_frontal_gyrus_right,orbitofrontal_cortex_left,orbitofrontal_cortex_right,dorsolateral_frontal_cortex_left,dorsolateral_frontal_cortex_right,paracentral_lobule_left,paracentral_lobule_right,postcentral_gyrus_left,postcentral_gyrus_right,dorsolateral_parietal_cortex_left,dorsolateral_parietal_cortex_right,precuneus_left,precuneus_right,anterior_cingulate_cortex_left,anterior_cingulate_cortex_right,posterior_cingulate_cortex_left,posterior_cingulate_cortex_right,isthmus_cingulate_cortex_left,isthmus_cingulate_cortex_right,lateral_temporal_cortex_left,lateral_temporal_cortex_right,mesial_temporal_cortex_left,mesial_temporal_cortex_right,lateral_occipital_cortex_left,lateral_occipital_cortex_right,pericalcarine_cortex_left,pericalcarine_cortex_right,lingual_gyrus_left,lingual_gyrus_right,cuneus_left,cuneus_right,insula_left,insula_right,cerebellar_cortex_left,cerebellar_cortex_right,thalamus_left,thalamus_right,caudate_left,caudate_right,putamen_left,putamen_right,globus_pallidus_left,globus_pallidus_right,brainstem_wo_pons,pons,hippocampus_left,hippocampus_right,amygdala_left,amygdala_right,ventral_diencephalon_left,ventral_diencephalon_right
1.2887206,1.2924079,1.262803,1.2776614,1.348853,1.361378,1.3868239,1.3587841,1.2074916,1.2470543,1.3150406,1.3042827,1.6063955,1.5932512,1.1678171,1.068442,1.423616,1.4480001,1.3275297,1.3893396,1.1955495,1.1995064,1.1955843,1.1918963,1.4078845,1.3794363,1.548369,1.6288971,1.5098879,1.514851,1.5518177,1.5852028,1.1854366,1.1957309,1.1867658,1.1927747,1.0451117,1.0581793,0.9453232,1.0099604,1.3886347,1.3960313,1.0354822,1.036185,0.8693816,0.92372924,0.8529815,0.8841325,0.80897677,0.8433347,0.85347533,0.84679997
1.4565964,1.430035,1.3704028,1.379317,1.4959981,1.4902742,1.4553251,1.4289473,1.2719735,1.3111514,1.4218047,1.4028578,1.7396228,1.6884589,1.2630589,1.1440766,1.550794,1.5965993,1.4416381,1.4982917,1.2503546,1.2413617,1.2041777,1.2031747,1.4187876,1.3832026,1.5933514,1.6642823,1.5364045,1.5305508,1.5905017,1.6015265,1.2549816,1.2571422,1.2827463,1.3123844,1.1239545,1.1328179,0.9824361,1.0786254,1.5494336,1.5746212,1.0998695,1.1112677,0.8715491,0.9203067,0.83772755,0.878681,0.7890941,0.8132951,0.8775614,0.8671518
1.2026166,1.260407,1.2220731,1.2302479,1.3233395,1.2991387,1.2553543,1.177542,1.2441915,1.1225302,1.2305443,1.1686263,1.4355426,1.4009714,1.1377397,1.101931,1.2841356,1.2979659,1.3127754,1.3070657,1.1072699,1.0866474,1.0742238,1.108496,1.0724674,1.0423287,1.4173145,1.5221087,1.3306952,1.3375657,1.3287151,1.3516188,1.2588367,1.2025214,1.1071875,1.1102409,1.154342,1.099169,1.0007,0.9760238,1.591806,1.5256921,1.2046283,1.1542382,0.9057846,0.9215123,0.9366606,0.97307605,0.8992231,0.9138099,0.96536833,0.9287008
1.1346692,1.1812006,1.1691296,1.1771117,1.2335757,1.2443324,1.1691195,1.0934033,1.153746,1.1050978,1.1508673,1.1168728,1.3369138,1.3096856,1.1108888,1.0820673,1.2462624,1.2355644,1.2039591,1.2198668,1.0408403,1.0215129,1.0183572,1.0353366,1.0060512,0.9984565,1.3678653,1.5375314,1.2711015,1.2850226,1.2932243,1.3573377,1.1809179,1.1493471,1.0624686,1.0306194,1.1021619,1.0798919,0.9569515,0.95511967,1.4371562,1.4149803,1.127763,1.1033634,0.86916405,0.9128029,0.91330886,0.9172805,0.88359225,0.89257157,0.9244986,0.8933246
1.1719563,1.2153232,1.2221143,1.2382303,1.2948848,1.3257655,1.2328882,1.149232,1.2156143,1.1580905,1.2008406,1.1812472,1.4365976,1.4025688,1.1372627,1.1013794,1.2417774,1.2533741,1.3091431,1.3288356,1.0685383,1.1030133,1.0508399,1.1013733,1.0524105,1.0943946,1.451447,1.5997221,1.3174105,1.3632591,1.3023384,1.3856333,1.2362605,1.2266976,1.086394,1.1155466,1.0895821,1.11453,0.99450886,0.99461496,1.5377823,1.5081136,1.1528548,1.1635385,0.88388366,0.9180459,0.9161709,0.98171383,0.8856092,0.93233544,0.9159702,0.933539
1.2578068,1.2902987,1.242279,1.2819563,1.2984127,1.3445873,1.3168752,1.2811058,1.2043654,1.227188,1.2232099,1.240418,1.3937635,1.4081199,1.1700261,1.1675229,1.2984356,1.3077648,1.2686585,1.291488,1.0802863,1.1941439,1.2263942,1.198,1.1599224,1.1951911,1.4039679,1.4533293,1.4390821,1.4403722,1.432605,1.4045641,1.2424988,1.258617,1.0930011,1.069126,1.0774294,1.1120397,1.1237516,1.1428088,1.538567,1.5221689,1.138818,1.205051,0.93015826,0.9414263,1.0027454,1.004313,1.0350987,1.0447792,0.93137044,0.9694378
1.370966,1.3911166,1.3325933,1.3629771,1.4191328,1.3993223,1.3549112,1.2916311,1.2863349,1.2551138,1.294057,1.2717345,1.4314204,1.4289546,1.2502477,1.2148553,1.4358643,1.4023556,1.3178275,1.3512862,1.1762762,1.198467,1.2703197,1.2280551,1.1871023,1.1955441,1.3855286,1.4488405,1.4238526,1.451161,1.4110166,1.4453924,1.316191,1.2786361,1.1097206,1.1106403,1.1804436,1.2136497,1.2143335,1.1956167,1.6731901,1.605503,1.2497714,1.2219424,0.9346671,0.94166297,1.0674272,1.0326248,1.0587541,1.0019271,0.9857104,0.98245585
1.3365337,1.357298,1.3005952,1.348549,1.3878759,1.3885949,1.3597898,1.3615614,1.3069525,1.2858044,1.299469,1.2579107,1.4295225,1.4268947,1.267565,1.2454019,1.3594433,1.387998,1.3032655,1.3441249,1.182027,1.2178769,1.2716575,1.273011,1.2148259,1.2196885,1.4689012,1.488802,1.4806306,1.4874198,1.4741527,1.4773859,1.2983754,1.3268615,1.1304927,1.114895,1.147865,1.1428738,1.1758962,1.2105412,1.5883938,1.6154507,1.1964623,1.2028176,0.9579313,0.96038765,1.0530789,1.0892231,1.040882,1.0732094,0.9868006,1.0167319
1.3116181,1.3386719,1.3369935,1.325359,1.378751,1.3871074,1.231748,1.2253171,1.2395532,1.2310978,1.2450887,1.2555135,1.3407929,1.400756,1.3773191,1.318966,1.3989874,1.3972197,1.2295469,1.263941,1.1797388,1.1606205,1.1442506,1.1289741,1.1869884,1.1743617,1.5027568,1.6331079,1.4118167,1.4143372,1.3616903,1.4203154,1.3526783,1.3389335,1.0803374,1.0534283,1.1836814,1.232078,1.2448556,1.2508066,1.6181221,1.6143775,1.2386489,1.2998668,0.9463269,0.94860226,1.0790808,1.1017213,1.0673939,1.0590209,1.004675,1.03935
1.4082562,1.4476922,1.4123259,1.4347833,1.4636856,1.4895644,1.3112658,1.303103,1.330183,1.3048619,1.3313901,1.3573178,1.4160316,1.4754535,1.4484694,1.3959428,1.4811878,1.4992186,1.3074934,1.3219233,1.2247438,1.22304,1.2064523,1.2101368,1.2629136,1.2714539,1.5637367,1.6766466,1.4912683,1.5133348,1.4190389,1.5230227,1.399471,1.4192462,1.1061102,1.0943385,1.1858463,1.2569282,1.2824302,1.2777494,1.6545413,1.6623198,1.2498523,1.2913067,0.94497037,0.94455695,1.1228087,1.1089694,1.1178955,1.0824882,1.0271074,1.0463309
